Fecha;Region;Bienes;Servicios
2016-12-01;Nacional;100.0000;100.0000
2017-01-01;Nacional;100.8092;102.2917
2017-02-01;Nacional;102.4750;105.1427
2017-03-01;Nacional;104.6803;108.6726
2017-04-01;Nacional;107.1850;112.2207
2017-05-01;Nacional;109.0597;113.5834
2017-06-01;Nacional;110.1520;115.1617
2017-07-01;Nacional;111.6182;117.6542
2017-08-01;Nacional;112.8205;119.4614
2017-09-01;Nacional;114.8187;121.8903
2017-10-01;Nacional;116.8350;123.9833
2017-11-01;Nacional;118.1836;125.5614
2017-12-01;Nacional;119.5926;130.6444
2018-01-01;Nacional;121.3103;133.1658
2018-02-01;Nacional;122.9855;137.9382
2018-03-01;Nacional;126.3063;142.4331
2018-04-01;Nacional;128.6513;146.5957
2018-05-01;Nacional;131.4850;149.2143
2018-06-01;Nacional;135.4931;153.4498
2018-07-01;Nacional;139.4962;157.5146
2018-08-01;Nacional;143.4069;165.4046
2018-09-01;Nacional;154.5222;173.0686
2018-10-01;Nacional;161.9276;180.7853
2018-11-01;Nacional;167.8697;185.9234
2018-12-01;Nacional;171.1157;192.5375
2019-01-01;Nacional;175.5350;199.1755
2019-02-01;Nacional;180.9414;205.1042
2019-03-01;Nacional;189.3417;215.9238
2019-04-01;Nacional;195.8102;223.0312
2019-05-01;Nacional;201.2696;230.2325
2019-06-01;Nacional;206.4059;237.8616
2019-07-01;Nacional;210.1395;243.3000
2019-08-01;Nacional;219.7070;251.0297
2019-09-01;Nacional;235.6932;263.6920
2019-10-01;Nacional;247.5375;269.9669
2019-11-01;Nacional;257.6143;281.9669
2019-12-01;Nacional;266.8339;294.4377
2020-01-01;Nacional;273.0894;298.0643
2020-02-01;Nacional;279.0921;302.9479
2020-03-01;Nacional;287.9018;317.9991
2020-04-01;Nacional;292.2484;317.8586
2020-05-01;Nacional;299.5299;320.5530
2020-06-01;Nacional;308.6406;326.0074
2020-07-01;Nacional;316.1633;331.1477
2020-08-01;Nacional;325.0651;337.6540
2020-09-01;Nacional;336.1901;343.8424
2020-10-01;Nacional;349.5114;351.5241
2020-11-01;Nacional;360.7110;360.6723
2020-12-01;Nacional;371.8974;372.8397
2021-01-01;Nacional;383.5354;391.6915
2021-02-01;Nacional;397.4271;403.2059
2021-03-01;Nacional;418.7852;426.6914
2021-04-01;Nacional;437.2648;439.7258
2021-05-01;Nacional;447.9423;454.4869
2021-06-01;Nacional;463.3312;469.1644
2021-07-01;Nacional;475.9158;482.3909
2021-08-01;Nacional;488.7238;495.0230
2021-09-01;Nacional;508.6195;511.5064
2021-10-01;Nacional;525.9715;527.2928
2021-11-01;Nacional;539.0092;538.7145
2021-12-01;Nacional;561.5513;554.4898
2022-01-01;Nacional;580.5046;575.9282
2022-02-01;Nacional;606.9180;594.6482
2022-03-01;Nacional;648.6234;637.6257
2022-04-01;Nacional;688.6172;671.2302
2022-05-01;Nacional;724.0248;703.8798
2022-06-01;Nacional;764.3986;737.0322
2022-07-01;Nacional;824.7844;791.8813
2022-08-01;Nacional;893.0894;836.5585
2022-09-01;Nacional;964.2626;872.9347
2022-10-01;Nacional;1021.6980;934.9305
2022-11-01;Nacional;1072.8293;985.5057
2022-12-01;Nacional;1130.3647;1035.9327
2023-01-01;Nacional;1192.5506;1099.3885
2023-02-01;Nacional;1265.0268;1162.2287
2023-03-01;Nacional;1365.3334;1256.7186
2023-04-01;Nacional;1478.7545;1343.3538
2023-05-01;Nacional;1589.4061;1455.7526
2023-06-01;Nacional;1675.3813;1564.1161
2023-07-01;Nacional;1773.0477;1687.0153
2023-08-01;Nacional;1977.0305;1867.2708
2023-09-01;Nacional;2241.6087;2071.1743
2023-10-01;Nacional;2452.8146;2237.3510
2023-11-01;Nacional;2755.5505;2505.2019
2023-12-01;Nacional;3472.9357;3042.3882
2024-01-01;Nacional;4281.9789;3640.2953
2024-02-01;Nacional;4816.3193;4198.4087
2024-03-01;Nacional;5274.2474;4827.4971
2024-04-01;Nacional;5624.1108;5369.9771
2024-05-01;Nacional;5874.0724;5610.7194
2024-06-01;Nacional;6026.8218;5963.0496
2024-07-01;Nacional;6236.5434;6256.6063
2024-08-01;Nacional;6428.6198;6573.8476
2024-09-01;Nacional;6639.0876;6824.4091
2024-10-01;Nacional;6820.3140;7045.8380
2024-11-01;Nacional;6957.7744;7285.0396
2024-12-01;Nacional;7087.3835;7536.5324
2025-01-01;Nacional;7197.0508;7742.0141
2025-02-01;Nacional;7331.5980;7932.3202
2025-03-01;Nacional;7575.7551;8274.2523
2025-04-01;Nacional;7774.2386;8504.6582
2025-05-01;Nacional;7868.2923;8703.1815
2025-06-01;Nacional;7967.8928;8915.2176
2025-07-01;Nacional;8058.7228;9130.2382
