Fecha		Codigo		Variacion Mensual
2017-01		Estacional		1.7
2017-01		Núcleo		1.5
2017-01		Regulados		1.8
2017-02		Estacional		0.6
2017-02		Núcleo		1.7
2017-02		Regulados		4.0
2017-03		Estacional		2.4
2017-03		Núcleo		1.9
2017-03		Regulados		3.8
2017-04		Estacional		3.2
2017-04		Núcleo		2.1
2017-04		Regulados		4.1
2017-05		Estacional		0.8
2017-05		Núcleo		1.7
2017-05		Regulados		1.0
2017-06		Estacional		0.9
2017-06		Núcleo		1.3
2017-06		Regulados		0.9
2017-07		Estacional		0.5
2017-07		Núcleo		1.8
2017-07		Regulados		2.3
2017-08		Estacional		1.1
2017-08		Núcleo		1.4
2017-08		Regulados		1.5
2017-09		Estacional		4.0
2017-09		Núcleo		1.6
2017-09		Regulados		1.7
2017-10		Estacional		2.4
2017-10		Núcleo		1.3
2017-10		Regulados		1.7
2017-11		Estacional		1.7
2017-11		Núcleo		1.3
2017-11		Regulados		1.5
2017-12		Estacional		0.3
2017-12		Núcleo		1.7
2017-12		Regulados		9.1
2018-01		Estacional		2.7
2018-01		Núcleo		1.5
2018-01		Regulados		2.1
2018-02		Estacional		-0.7
2018-02		Núcleo		2.1
2018-02		Regulados		4.8
2018-03		Estacional		1.6
2018-03		Núcleo		2.6
2018-03		Regulados		2.0
2018-04		Estacional		0.9
2018-04		Núcleo		2.1
2018-04		Regulados		5.3
2018-05		Estacional		2.5
2018-05		Núcleo		2.7
2018-05		Regulados		0.4
2018-06		Estacional		3.4
2018-06		Núcleo		4.1
2018-06		Regulados		2.9
2018-07		Estacional		3.8
2018-07		Núcleo		3.2
2018-07		Regulados		2.6
2018-08		Estacional		1.9
2018-08		Núcleo		3.4
2018-08		Regulados		6.2
2018-09		Estacional		4.0
2018-09		Núcleo		7.6
2018-09		Regulados		4.7
2018-10		Estacional		6.2
2018-10		Núcleo		4.5
2018-10		Regulados		7.4
2018-11		Estacional		3.0
2018-11		Núcleo		3.3
2018-11		Regulados		2.8
2018-12		Estacional		1.4
2018-12		Núcleo		2.7
2018-12		Regulados		2.6
2019-01		Estacional		1.1
2019-01		Núcleo		3.0
2019-01		Regulados		3.4
2019-02		Estacional		1.9
2019-02		Núcleo		3.9
2019-02		Regulados		4.2
2019-03		Estacional		4.8
2019-03		Núcleo		4.6
2019-03		Regulados		4.9
2019-04		Estacional		1.6
2019-04		Núcleo		3.8
2019-04		Regulados		3.3
2019-05		Estacional		0.6
2019-05		Núcleo		3.2
2019-05		Regulados		3.7
2019-06		Estacional		2.5
2019-06		Núcleo		2.7
2019-06		Regulados		2.8
2019-07		Estacional		3.6
2019-07		Núcleo		2.1
